hospital_name,node_name,latitude,longitude
RS PHC Surabaya,25,-7.256973686909238,112.74335833700378
RS PHC Surabaya,26,-7.255983896612385,112.74269314909426
RS PHC Surabaya,27,-7.255345321071928,112.74285408165301
RS PHC Surabaya,28,-7.254163953933517,112.74413081328582
RS PHC Surabaya,29,-7.253653091507928,112.74427028817006
RS PHC Surabaya,30,-7.252438237369252,112.74420875009729
RS PHC Surabaya,31,-7.246655544330572,112.74736557601817
RS PHC Surabaya,32,-7.244856937354003,112.74712954160022
RS PHC Surabaya,33,-7.24309016583187,112.74710808392572
RS PHC Surabaya,34,-7.241781047527081,112.7456382332224
RS PHC Surabaya,35,-7.236048722599714,112.7431413131899
RS PHC Surabaya,36,-7.234140008941816,112.74265803060267
RS PHC Surabaya,37,-7.233960654402273,112.74158506192967
RS PHC Surabaya,38,-7.2335136298319425,112.74107007780546
RS PHC Surabaya,39,-7.225376122487061,112.74093530731733
RS PHC Surabaya,40,-7.225259042440929,112.74074218827076
RS PHC Surabaya,41,-7.225078100491825,112.74078510361446
RS PHC Surabaya,42,-7.224982307665908,112.74087093430182
RS PHC Surabaya,43,-7.2223533188529485,112.7405490692242
RS PHC Surabaya,44,-7.222421781153048,112.73852941229129
RS PHC Surabaya,45,-7.222581436755981,112.73810025885446
RS PHC Surabaya,46,-7.2224643559860064,112.73752090171475
RS PHC Surabaya,47,-7.22253886193404,112.73634072976348
RS PHC Surabaya,48,-7.22260272416545,112.73619052606061
RS PHC Surabaya,49,-7.2224643559860064,112.73606178002954
RS PHC Surabaya,50,-7.2223366314750965,112.73623344140428
RS PHC Surabaya,51,-7.218253936511537,112.73655347405605
RS PHC Surabaya,52,-7.217053538251386,112.73679727723622
RS PHC Surabaya,RS PHC Surabaya,-7.210386048952536,112.73652611810142
Mitra Keluarga Kenjeran,Klinik Unesa,-7.311267018065373,112.7294231069041
Mitra Keluarga Kenjeran,1,-7.310075719211013,112.72986907107205
Mitra Keluarga Kenjeran,2,-7.3096967940930035,112.73052876826027
Mitra Keluarga Kenjeran,3,-7.309673333506102,112.7309466346527
Mitra Keluarga Kenjeran,4,-7.309993961420449,112.73257867886457
Mitra Keluarga Kenjeran,5,-7.309383986166328,112.73272848002411
Mitra Keluarga Kenjeran,6,-7.309407446734336,112.73290193403477
Mitra Keluarga Kenjeran,7,-7.308207115028336,112.73388869904889
Mitra Keluarga Kenjeran,8,-7.308189013663796,112.7339689973768
Mitra Keluarga Kenjeran,9,-7.302622943666493,112.73820970537574
Mitra Keluarga Kenjeran,10,-7.301204695719143,112.73943758161708
Mitra Keluarga Kenjeran,12,-7.300752154287321,112.73973687539366
Mitra Keluarga Kenjeran,13,-7.300707740210759,112.74025197879914
Mitra Keluarga Kenjeran,14,-7.30077796460067,112.74039800043154
Mitra Keluarga Kenjeran,15,-7.300918413347389,112.74116350777722
Mitra Keluarga Kenjeran,16,-7.30216727193213,112.74590210778939
Mitra Keluarga Kenjeran,17,-7.302219940053686,112.74597733105458
Mitra Keluarga Kenjeran,18,-7.306448775191469,112.76168372924461
Mitra Keluarga Kenjeran,19,-7.310804952170493,112.77770794004883
Mitra Keluarga Kenjeran,20,-7.31129519409154,112.78045888885106
Mitra Keluarga Kenjeran,21,-7.311320242726136,112.78046461290629
Mitra Keluarga Kenjeran,22,-7.306950749440058,112.78044710736698
Mitra Keluarga Kenjeran,23,-7.304745435307355,112.78114880753753
Mitra Keluarga Kenjeran,24,-7.298528267695987,112.78185050772238
Mitra Keluarga Kenjeran,25,-7.295712918054763,112.78176378073151
Mitra Keluarga Kenjeran,26,-7.291787039910831,112.78054960290454
Mitra Keluarga Kenjeran,27,-7.2906217825749495,112.78043922310107
Mitra Keluarga Kenjeran,28,-7.2896989592068016,112.78046287591573
Mitra Keluarga Kenjeran,29,-7.285087101133032,112.78086705255814
Mitra Keluarga Kenjeran,30,-7.282107432839692,112.78074878848537
Mitra Keluarga Kenjeran,31,-7.280480728913435,112.78079609411392
Mitra Keluarga Kenjeran,32,-7.277210009444204,112.7808020955606
Mitra Keluarga Kenjeran,33,-7.274590046178181,112.78158263844817
Mitra Keluarga Kenjeran,34,-7.26999008958623,112.78202174551201
Mitra Keluarga Kenjeran,35,-7.269513015119938,112.78219519948621
Mitra Keluarga Kenjeran,36,-7.2633570621987475,112.78297910384357
Mitra Keluarga Kenjeran,37,-7.260040944119731,112.78242720482736
Mitra Keluarga Kenjeran,38,-7.255786636118834,112.78216247075224
Mitra Keluarga Kenjeran,39,-7.254073804093209,112.78259610569094
Mitra Keluarga Kenjeran,40,-7.249651155768328,112.78427760708301
Mitra Keluarga Kenjeran,41,-7.250603726762265,112.78759029722261
Mitra Keluarga Kenjeran,42,-7.250854005920602,112.78752722305018
Mitra Keluarga Kenjeran,Mitra Keluarga Kenjeran,-7.250290877618731,112.78574537767874
Rumah Sakit Royal,Klinik Unesa,-7.3112852394190355,112.72943040972358  
Rumah Sakit Royal,1,-7.3100815796328025,112.72987080180941  
Rumah Sakit Royal,2,-7.309728893743635,112.73045472910741  
Rumah Sakit Royal,3,-7.309992078082717,112.73254098592012
Rumah Sakit Royal,4,-7.310176841296851,112.7329503428604
Rumah Sakit Royal,5,-7.311890140496419,112.73163606042003
Rumah Sakit Royal,6,-7.312464785984653,112.73154486530947
Rumah Sakit Royal,7,-7.312640371951262,112.73136247509326
Rumah Sakit Royal,8,-7.313246941129477,112.73407150621989
Rumah Sakit Royal,9,-7.313236299571026,112.734328998273
Rumah Sakit Royal,10,-7.311661346292528,112.73462404126981
Rumah Sakit Royal,11,-7.31160281751633,112.73490299101225
Rumah Sakit Royal,12,-7.308449907799047,112.73550568636956
Rumah Sakit Royal,13,-7.308194507590025,112.73544667775955
Rumah Sakit Royal,14,-7.307997636511555,112.73550568635893
